symbol,current_price,predicted_price,change_pct,direction,confidence,recommendation,price_change,percent_change,market_change_%,volume,prediction_diff_%
786,12.95,13.278434949928016,-0.5360706329345697,UP,0.469061803817749,HOLD,0.198434949928016,1.5170867731499695,-0.99,0,2.5361772195213654
AABS,1031.02,1040.933386835087,-0.6335194587707449,DOWN,0.5543295264244079,HOLD,,,0.29,0,0.9615125637802436
ABL,173.05,172.31436410408185,0.4865689277649005,UP,0.425747811794281,HOLD,,,-0.24,0,-0.4251001998949233
ABOT,1079.99,1080.9383348186784,-0.6955999374389675,DOWN,0.6086499452590942,HOLD,,,0.89,0,0.0878095925590426
ACPL,283.37,291.1239163268305,0.404864311218261,UP,0.354256272315979,HOLD,,,-0.78,0,2.7363222383563914
ADAMS,72.66,70.34688522411992,-0.527596139907843,DOWN,0.4616466224193573,HOLD,,,5.29,0,-3.1834775335536483
ADMM,51.81,48.74992676318102,0.4531794548034542,UP,0.3965320229530334,HOLD,,,1.15,0,-5.906337071644431
ADOS,0.0,25.39363438081741,-0.4171200752258428,DOWN,0.3649800658226013,HOLD,,,0.0,0,inf
AEL,0.0,14.432864026327133,0.7178229331970186,UP,0.6280950665473938,HOLD,,,0.0,0,inf
AGIC,38.57,38.36300006725956,0.5056376934051503,UP,0.4424329817295074,HOLD,,,-1.1,0,-0.5366863695629699
AGIL,142.0,143.26468860634748,-0.4691634178161653,DOWN,0.4105179905891418,HOLD,,,-0.79,0,0.8906257791179413
AGL,68.33,67.14572980895059,-0.657296276092532,DOWN,0.575134241580963,HOLD,,,-0.03,0,-1.7331628728953712
AGP,185.5,186.6125010426079,-0.6534791946411165,DOWN,0.571794295310974,HOLD,,,0.94,0,0.5997310202738021
AGSML,9.26,8.882149682799534,-0.7581019878387395,DOWN,0.6633392393589019,HOLD,,,-0.64,0,-4.08045698920589
AGTL,395.53,407.9300586538554,-0.5169928550720269,DOWN,0.4523687481880187,HOLD,,,-0.3,0,3.13504883418588
AHCL,15.13,15.141286404394986,0.4064090251922743,UP,0.3556078970432281,HOLD,,,-0.53,0,0.07459619560466083
AHL,99.24,98.7518912875292,-0.5419575214385981,DOWN,0.4742128312587738,HOLD,,,-0.88,0,-0.4918467477537186
AHTM,95.03,94.3268294792569,-0.7399445533752503,DOWN,0.6474514842033385,HOLD,,,0.0,0,-0.7399458284153427
AICL,78.79,77.98824220101304,0.461477470397946,UP,0.4037927865982055,HOLD,,,0.17,0,-1.0175882713376943
AKBL,95.78,99.08640320257533,0.4525586128234865,UP,0.3959887862205505,HOLD,,,0.49,0,3.452081021690671
ALAC,11.73,11.763842333304778,-0.559235763549802,DOWN,0.4893312931060791,HOLD,,,0.0,0,0.2885109403646844
ALNRS,103.2,97.32393433952332,-0.689862918853756,DOWN,0.6036300539970397,HOLD,,,0.93,0,-5.693862074105314
ALTN,11.08,10.913930519411313,0.496600961685182,UP,0.434525841474533,HOLD,,,-0.72,0,-1.4988220269737123
AMBL,10.62,9.881463681822895,-0.5888923645019574,DOWN,0.515280818939209,HOLD,,,7.27,0,-6.954202619370095
ANL,11.75,12.307192539948735,-0.5077392578125023,DOWN,0.4442718505859375,HOLD,,,-0.17,0,4.74206416977647
ANTM,37.4,35.97299363401724,-0.6270915031433196,DOWN,0.5487050652503966,HOLD,,,0.95,0,-3.8155250427346408
APL,535.16,532.5572282894551,-0.5160985946655177,DOWN,0.4515862703323364,HOLD,,,0.59,0,-0.4863539335049065
ARPL,431.72,425.7643854141235,0.4161286354064915,UP,0.3641125559806824,HOLD,,,1.12,0,-1.3795086134245582
ASC,15.0,15.12147631476708,-0.5166019439697191,DOWN,0.4520267009735107,HOLD,,,0.13,0,0.8098420984471962
ASHT,22.58,21.536800253566163,-0.7520760536193782,DOWN,0.6580665469169616,HOLD,,,2.68,0,-4.620016591823894
ASL,13.06,12.95790620036507,-0.4004152774810784,DOWN,0.3503633677959442,HOLD,,,-0.99,0,-0.7817289405431141
ASTL,22.98,22.22039097326791,0.4992779731750382,UP,0.4368682265281677,HOLD,,,-1.08,0,-3.305522309539119
ASTM,21.35,22.52939425863315,0.6225764751434325,UP,0.5447544157505035,HOLD,,,5.69,0,5.5240948882114695
ATBA,235.86,241.07334852205952,-0.5760105133056577,DOWN,0.504009199142456,HOLD,,,-1.12,0,2.2103572127785567
ATIL,77.39,77.35459967210136,0.4474711418151855,UP,0.3915372490882873,HOLD,,,0.6,0,-0.0457427676684876
ATLH,1489.23,1471.855533094452,-0.4359409809112567,DOWN,0.381448358297348,HOLD,,,0.21,0,-1.166674516733341
ATRL,680.66,671.3723572380379,-0.510899209976209,DOWN,0.4470368087291717,HOLD,,,-0.28,0,-1.36450544500368
AVN,43.4,43.19319276954357,-0.4306323051452589,DOWN,0.3768032670021057,HOLD,,,-1.25,0,-0.4765143558903844
BAFL,101.98,103.33584184738837,-0.475931787490837,DOWN,0.4164403140544891,HOLD,,,-1.06,0,1.329517402812671
BAHL,181.79,183.3783038659992,-0.5971877098083431,DOWN,0.5225392460823058,HOLD,,,0.36,0,0.8737025501948369
BAPL,39.4,39.67326023398113,-0.667847776412966,DOWN,0.5843668043613434,HOLD,,,-3.0,0,0.6935538933531311
BATA,1220.15,1218.2160803030788,-0.5554145336151084,DOWN,0.4859877169132232,HOLD,,,0.06,0,-0.15849852042136567
BCL,90.98,91.57678500122918,0.5344040870666596,UP,0.467603576183319,HOLD,,,0.23,0,0.6559518589021534
BERG,100.76,81.7614617132187,-0.6543600082397371,DOWN,0.5725650072097778,HOLD,,,0.37,0,-18.85523847437605
BGL,12.94,12.18318862271309,-0.5453989982604943,DOWN,0.4772241234779357,HOLD,,,-2.19,0,-5.8486196080904955
BHAT,871.44,799.8672835250296,-0.7658050060272233,DOWN,0.670079380273819,HOLD,,,0.0,0,-8.213154832802077
